(
  (0.001 0.0)
  (1.001 0.0)
  (2.001 0.0)
  (3.001 0.0)
  (4.001 0.0)
  (5.001 0.0)
  (6.001 0.0)
  (7.001 0.0)
  (8.001 0.0)
  (9.001 0.0)
  (10.001 0.0)
  (11.001 0.00082141875)
  (12.001 0.0016428375)
  (13.001 0.00082141875)
  (14.001 0.0)
  (15.001 0.0)
  (16.001 0.0)
  (17.001 0.0)
  (18.001 0.0)
  (19.001 0.0)
  (20.001 0.0)
  (21.001 0.0)
  (22.001 0.0)
  (23.001 0.0)
  (24.001 0.0)
  (25.001 0.0)
  (26.001 0.0)
  (27.001 0.0)
  (28.001 0.0)
  (29.001 0.0)
  (30.001 0.0)
  (31.001 0.0)
  (32.001 0.0)
  (33.001 0.0)
  (34.001 0.0)
  (35.001 0.0)
  (36.001 0.0)
  (37.001 0.0)
  (38.001 0.0)
  (39.001 0.0)
  (40.001 0.0)
  (41.001 0.0)
  (42.001 0.0)
  (43.001 0.0)
  (44.001 0.0)
  (45.001 0.0)
  (46.001 0.0)
  (47.001 0.0)
  (48.001 0.0)
  (49.001 0.0)
  (50.001 0.0)
  (51.001 0.0)
  (52.001 0.0)
  (53.001 0.0)
  (54.001 0.0)
  (55.001 0.0)
  (56.001 0.0)
  (57.001 0.0)
  (58.001 0.0)
  (59.001 0.0)
  (60.001 0.0)
  (61.001 0.0)
  (62.001 0.0)
  (63.001 0.0)
  (64.001 0.0)
  (65.001 0.0)
  (66.001 0.0)
  (67.001 0.0)
  (68.001 0.00082141875)
  (69.001 0.0016428375)
  (70.001 0.00082141875)
  (71.001 0.0)
  (72.001 0.0)
  (73.001 0.0)
  (74.001 0.0)
  (75.001 0.0)
  (76.001 0.0)
  (77.001 0.0)
  (78.001 0.0)
  (79.001 0.0)
  (80.001 0.0)
  (81.001 0.0)
  (82.001 0.0)
  (83.001 0.0)
  (84.001 0.0)
  (85.001 0.0)
  (86.001 0.0)
  (87.001 0.0)
  (88.001 0.0)
  (89.001 0.0)
  (90.001 0.0)
  (91.001 0.0)
  (92.001 0.0)
  (93.001 0.0)
  (94.001 0.0)
  (95.001 0.0)
  (96.001 0.0)
  (97.001 0.0)
  (98.001 0.0)
  (99.001 0.0)
  (100.001 0.0)
  (101.001 0.0)
  (102.001 0.0)
  (103.001 0.0)
  (104.001 0.0)
  (105.001 0.0)
  (106.001 0.0)
  (107.001 0.0)
  (108.001 0.0)
  (109.001 0.0)
  (110.001 0.0)
  (111.001 0.0)
  (112.001 0.0)
  (113.001 0.0)
  (114.001 0.0)
  (115.001 0.0)
  (116.001 0.0)
  (117.001 0.0)
  (118.001 0.0)
  (119.001 0.0)
  (120.001 0.0)
  (121.001 0.0)
  (122.001 0.0)
  (123.001 0.0)
  (124.001 0.0)
  (125.001 0.0)
  (126.001 0.0)
  (127.001 0.0)
  (128.001 0.0)
  (129.001 0.0)
  (130.001 0.0)
  (131.001 0.0)
  (132.001 0.0)
  (133.001 0.0)
  (134.001 0.0)
  (135.001 0.0)
  (136.001 0.0)
  (137.001 0.0)
  (138.001 0.0)
  (139.001 0.0)
  (140.001 0.0)
  (141.001 0.0)
  (142.001 0.0)
  (143.001 0.0)
  (144.001 0.0)
  (145.001 0.0)
  (146.001 0.0)
  (147.001 0.0)
  (148.001 0.0)
  (149.001 0.0)
  (150.001 0.0)
  (151.001 0.0)
  (152.001 0.0)
  (153.001 0.0)
  (154.001 0.0)
  (155.001 0.0)
  (156.001 0.0)
  (157.001 0.0)
  (158.001 0.0)
  (159.001 0.0)
  (160.001 0.0)
  (161.001 0.0)
  (162.001 0.0)
  (163.001 0.0)
  (164.001 0.0)
  (165.001 0.0)
  (166.001 0.0)
  (167.001 0.0)
  (168.001 0.0)
  (169.001 0.0)
  (170.001 0.0)
  (171.001 0.0)
  (172.001 0.0)
  (173.001 0.0)
  (174.001 0.0)
  (175.001 0.0)
  (176.001 0.0)
  (177.001 0.0)
  (178.001 0.0)
  (179.001 0.0)
  (180.001 0.0)
  (181.001 0.0)
  (182.001 0.0)
  (183.001 0.0)
  (184.001 0.0)
  (185.001 0.0)
  (186.001 0.0)
  (187.001 0.0)
  (188.001 0.0)
  (189.001 0.0)
  (190.001 0.0)
  (191.001 0.0)
  (192.001 0.0)
  (193.001 0.0)
  (194.001 0.0)
  (195.001 0.0)
  (196.001 0.0)
  (197.001 0.0)
  (198.001 0.0)
  (199.001 0.0)
  (200.001 0.0)
  (201.001 0.0)
  (202.001 0.0)
  (203.001 0.0)
  (204.001 0.0)
  (205.001 0.0)
  (206.001 0.0)
  (207.001 0.0)
  (208.001 0.0)
  (209.001 0.0)
  (210.001 0.0)
  (211.001 0.0)
  (212.001 0.0)
  (213.001 0.0)
  (214.001 0.0)
  (215.001 0.0)
  (216.001 0.0)
  (217.001 0.0)
  (218.001 0.0)
  (219.001 0.0)
  (220.001 0.0)
  (221.001 0.0)
  (222.001 0.0)
  (223.001 0.0)
  (224.001 0.0)
  (225.001 0.0)
  (226.001 0.0)
  (227.001 0.0)
  (228.001 0.0)
  (229.001 0.0)
  (230.001 0.0)
  (231.001 0.0)
  (232.001 0.0)
  (233.001 0.0)
  (234.001 0.0)
  (235.001 0.0)
  (236.001 0.0)
  (237.001 0.0)
  (238.001 0.0)
  (239.001 0.0)
  (240.001 0.0)
  (241.001 0.0)
  (242.001 0.0)
  (243.001 0.0)
  (244.001 0.0)
  (245.001 0.0)
  (246.001 0.0)
  (247.001 0.0)
